Country,Crop,Production,Global_Production_Share_%,Water_Stress,Agriculture_Withdrawal_Share,Risk_Category,Hotspot_Score
Gabon,Rice,1757.84,0.00013162805692261843,0.502166065,28.97196262,Lower water stress,1.915021911463536e-07
Gabon,Sugar cane,223500.0,0.009170669321843803,0.502166065,28.97196262,Lower water stress,1.3342165116394377e-05
Gambia,Maize (corn),19523.0,0.0010551398377298764,2.209656372,38.58267717,Lower water stress,8.995537546260497e-06
Gambia,Rice,44597.0,0.003339448672562926,2.209656372,38.58267717,Lower water stress,2.8470288812600094e-05
Georgia,Maize (corn),152900.0,0.008263631674891057,4.212964169,33.55239759,Lower water stress,0.00011681060589232435
Georgia,Potatoes,198900.0,0.026742275390589286,4.212964169,33.55239759,Lower water stress,0.00037801556436810953
Georgia,Wheat,156800.0,0.010463072168038046,4.212964169,33.55239759,Lower water stress,0.00014790080772322814
Germany,Maize (corn),3837400.0,0.20739607710416574,35.35165707,4.166591548,Water stressed,0.0030548595059709614
Germany,Potatoes,10683400.0,1.4363922820906063,35.35165707,4.166591548,Water stressed,0.021157471628761464
Germany,Rice,0.0,0.0,35.35165707,4.166591548,Water stressed,0.0
Germany,Wheat,22587300.0,1.5072228952877917,35.35165707,4.166591548,Water stressed,0.02220077763078626
Ghana,Maize (corn),3255718.0,0.17595849829504878,6.314734089,73.0574901,Lower water stress,0.008117645134223772
Ghana,Rice,1283000.0,0.09607176821082661,6.314734089,73.0574901,Lower water stress,0.004432161727393164
Ghana,Sugar cane,155609.1,0.006384964651318678,6.314734089,73.0574901,Lower water stress,0.00029456308013641586
Greece,Maize (corn),1340950.0,0.07247296857060277,20.32571313,80.47448878,Lower water stress,0.011854413421267676
Greece,Potatoes,391940.0,0.05269666876112401,20.32571313,80.47448878,Lower water stress,0.008619601345698953
Greece,Rice,214750.0,0.016080601888756832,20.32571313,80.47448878,Lower water stress,0.002630306259173507
Greece,Wheat,1203260.0,0.08029206770990727,20.32571313,80.47448878,Lower water stress,0.013133384541222488
Grenada,Maize (corn),388.4,2.0991462017839673e-05,7.05,14.89361702,Lower water stress,2.2041035116842422e-07
Grenada,Sugar cane,6276.0,0.0002575173184066743,7.05,14.89361702,Lower water stress,2.7039318430383143e-06
Guatemala,Maize (corn),2072142.0,0.11199096315285875,5.742097081,56.73716194,Lower water stress,0.0036485568582440065
Guatemala,Potatoes,643343.0,0.08649801747917488,5.742097081,56.73716194,Lower water stress,0.002818021436849277
Guatemala,Rice,27891.0,0.002088493910497401,5.742097081,56.73716194,Lower water stress,6.80411040857418e-05
Guatemala,Sugar cane,25845178.0,1.0604813467659613,5.742097081,56.73716194,Lower water stress,0.03454945275809087
Guatemala,Wheat,641.0,4.277314578898206e-05,5.742097081,56.73716194,Lower water stress,1.393507565463576e-06
